Fighter,Peak_Elo,Peak_Elo_Year,Current_Elo,Matches
Joao Miyao,1782.45,2019,1757.32,41
Demian Maia,1759.03,2007,1757.25,38
Baret Yoshida,1805.97,2010,1756.75,94
Ruan Alvarenga,1756.61,2025,1756.61,19
Davi Vetoraci,1768.09,2024,1755.97,51
Inacio Santos,1759.81,2024,1755.97,29
Kjetil Lydvo,1773.77,2024,1755.6,31
Jakub Zajkowski,1776.5,2022,1754.93,34
Leonardo Souza Oliveira,1763.81,2025,1754.91,38
Pedro Maia,1767.86,2024,1754.04,70
Jon Blank,1799.28,2024,1754.01,51
Anderson Munis,1774.92,2024,1753.02,78
Mauricio Oliveira,1780.05,2023,1752.93,62
Gabriel Sousa,1820.64,2019,1748.66,176
Pedro Lucas,1814.9,2024,1748.64,48
Estevan Martinez,1761.35,2024,1748.07,105
Pablo Lavaselli,1822.45,2022,1747.37,147
Sheliah Lindsey,1760.08,2025,1746.8,46
Adam Benayoun,1772.02,2022,1746.05,82
Jeremy Skinner,1822.81,2024,1745.27,34
Fellipe Trovo,1840.2,2023,1744.62,148
David Garmo,1804.28,2024,1744.39,181
Lucas Lepri,1750.61,2019,1743.38,38
Eleftheria Christodoulou,1772.19,2022,1743.18,16
Nikki Lloyd-Griffiths,1800.5,2024,1743.16,55
Matheus Felipe Xavier,1742.6,2025,1742.6,92
Hiago George,1849.96,2021,1741.2,217
Jonathan Satava,1782.29,2023,1741.07,152
Diana Teixeira,1752.62,2025,1740.04,81
Vinicius Liberati,1778.77,2024,1739.13,38
Manuel Ribamar,1813.86,2020,1738.88,203
Kieran Kichuk,1866.38,2022,1738.53,114
Lucas Rodrigues,1774.06,2023,1738.43,19
Rafael Lovato,1737.91,2025,1737.91,62
Sebastian Rodriguez,1802.17,2022,1736.31,106
Cassio Francis,1800.76,2016,1734.28,70
Otavio Sousa,1758.43,2017,1733.41,60
Leonardo Nogueira,1772.59,2018,1733.39,85
Nicky Ryan,1759.59,2023,1731.43,22
Dominique Bell,1790.08,2021,1730.33,53
Caroline Brunacio,1762.83,2025,1729.63,25
Roberto Satoshi,1791.45,2018,1728.87,80
Achilles Rocha,1745.35,2024,1728.82,31
Austin Baker,1745.27,2024,1728.75,97
Luiza Monteiro,1742.4,2025,1728.34,36
Levi Jones,1734.48,2024,1727.81,37
Dj Jackson,1795.7,2018,1727.8,132
C. Negromonte,1726.56,2024,1726.56,55
Arnaldo Maidana,1760.73,2019,1726.4,156
Guilherme Fernandes,1731.47,2025,1726.12,44
Luan Azevedo,1769.21,2022,1725.93,23
"Marcio Cruz ""Pe De Pano""",1866.18,2005,1724.58,66
Rafael Paganini,1806.76,2024,1724.54,167
Tamiris Silva,1754.97,2025,1724.12,41
Leonardo Saggioro,1790.44,2021,1724.11,162
Faris Ben-Lamkadem,1794.09,2024,1723.9,73
Everton Souza,1735.01,2025,1723.76,14
Guilherme Lambertucci,1731.72,2024,1722.87,68
Sean Roberts,1754.85,2015,1722.86,32
Jose Jurema,1740.98,2024,1722.33,53
Vitoria Assis,1746.28,2023,1721.94,37
Joe Dierkhising,1721.86,2023,1721.86,24
Jaine Fragoso,1752.82,2025,1721.78,88
Sebastian Serpa,1762.64,2024,1721.66,121
Yigit Hanay,1761.73,2024,1721.32,25
Espen Mathiesen,1760.54,2024,1719.22,99
Jessica Caroline Dantas,1810.12,2024,1718.87,127
"Francisco ""Sinistro"" Iturralde",1735.22,2024,1718.66,122
Bruno Lima,1751.48,2024,1718.54,107
Zayed Alkatheeri,1735.45,2024,1716.59,52
Lucas Montalvao,1747.27,2025,1716.56,27
Leonardo Lara,1727.6,2024,1716.13,121
Kristof Szucs,1778.84,2024,1715.91,35
Mathias Luna,1737.15,2023,1713.79,150
Giovanna Jara,1769.85,2024,1713.6,33
Rerisson Gabriel,1718.43,2025,1713.2,20
Diego Ramalho,1886.53,2017,1713.04,279
Amanda Magda,1789.47,2024,1712.5,90
